"tissue","age","sex","n_counts"
"Brain_Myeloid","18m","female",155924
"Brain_Myeloid","18m","female",407114
"Brain_Myeloid","18m","female",185362
"Brain_Myeloid","18m","female",1406185
"Brain_Myeloid","18m","female",1085203
"Brain_Myeloid","18m","female",265036
"Brain_Myeloid","18m","female",1435906
"Brain_Myeloid","18m","female",920529
"Brain_Myeloid","18m","male",678496
"Brain_Myeloid","18m","female",2637469
"Brain_Myeloid","18m","male",1061227
"Brain_Myeloid","18m","male",935600
"Brain_Myeloid","18m","female",962325
"Brain_Myeloid","18m","female",2139241
"Brain_Myeloid","18m","female",809538
"Brain_Myeloid","18m","female",1024026
"Brain_Myeloid","18m","male",968060
"Brain_Myeloid","18m","female",482090
"Brain_Myeloid","18m","female",733005
"Brain_Myeloid","18m","female",897776
"Brain_Myeloid","18m","male",835905
"Brain_Myeloid","18m","female",685602
"Brain_Myeloid","18m","female",911892
"Brain_Myeloid","18m","female",361520
"Brain_Myeloid","18m","female",372926
"Brain_Myeloid","18m","female",1175384
"Brain_Myeloid","18m","female",85667
"Brain_Myeloid","18m","female",673122
"Brain_Myeloid","18m","female",229420
"Brain_Myeloid","18m","male",925045
"Brain_Myeloid","18m","female",382116
"Brain_Myeloid","18m","male",418943
"Brain_Myeloid","18m","female",744633
"Brain_Myeloid","18m","male",5376
"Brain_Myeloid","18m","female",539497
"Brain_Myeloid","18m","male",353374
"Brain_Myeloid","18m","female",293893
"Brain_Myeloid","18m","male",792896
"Brain_Myeloid","18m","female",227998
"Brain_Myeloid","18m","male",521960
"Brain_Myeloid","18m","female",1036869
"Brain_Myeloid","18m","female",406319
"Brain_Myeloid","18m","female",398954
"Brain_Myeloid","18m","female",109561
"Brain_Myeloid","18m","female",12361
"Brain_Myeloid","18m","male",2468962
"Brain_Myeloid","18m","female",564072
"Brain_Myeloid","18m","female",92038
"Brain_Myeloid","18m","female",649591
"Brain_Myeloid","18m","female",1895133
"Brain_Myeloid","18m","female",873834
"Brain_Myeloid","18m","female",420158
"Brain_Myeloid","18m","female",853367
"Brain_Myeloid","18m","female",1015893
"Brain_Myeloid","18m","female",1517261
"Brain_Myeloid","18m","female",970256
"Brain_Myeloid","18m","female",765241
"Brain_Myeloid","18m","female",1552233
"Brain_Myeloid","18m","female",434727
"Brain_Myeloid","18m","female",1424783
"Brain_Myeloid","18m","male",1479022
"Brain_Myeloid","18m","male",472411
"Brain_Myeloid","18m","female",2268641
"Brain_Myeloid","18m","male",1042278
"Brain_Myeloid","18m","female",2011454
"Brain_Myeloid","18m","male",1093492
"Brain_Myeloid","18m","female",1056865
"Brain_Myeloid","18m","male",2497277
"Brain_Myeloid","18m","female",486609
"Brain_Myeloid","18m","female",664931
"Brain_Myeloid","18m","male",874325
"Brain_Myeloid","18m","female",1836222
"Brain_Myeloid","18m","female",2106591
"Brain_Myeloid","18m","male",1021934
"Brain_Myeloid","18m","male",691890
"Brain_Myeloid","18m","female",350868
"Brain_Myeloid","18m","male",2730967
"Brain_Myeloid","18m","female",802358
"Brain_Myeloid","18m","female",1736956
"Brain_Myeloid","18m","male",936803
"Brain_Myeloid","18m","female",800784
"Brain_Myeloid","18m","female",1720047
"Brain_Myeloid","18m","female",1294100
"Brain_Myeloid","18m","male",2263809
"Brain_Myeloid","18m","male",1769501
"Brain_Myeloid","18m","male",795071
"Brain_Myeloid","18m","female",1210887
"Brain_Myeloid","18m","male",1427553
"Brain_Myeloid","18m","female",2100595
"Brain_Myeloid","18m","female",1170719
"Brain_Myeloid","18m","male",2777738
"Brain_Myeloid","18m","male",2504694
"Brain_Myeloid","18m","male",1524560
"Brain_Myeloid","18m","male",597581
"Brain_Myeloid","18m","female",816151
"Brain_Myeloid","18m","male",348835
"Brain_Myeloid","18m","male",1508579
"Brain_Myeloid","18m","male",892820
"Brain_Myeloid","18m","female",482870
"Brain_Myeloid","18m","female",1875308
"Brain_Myeloid","18m","female",1197394
"Brain_Myeloid","18m","female",363077
"Brain_Myeloid","18m","female",79042
"Brain_Myeloid","18m","female",582587
"Brain_Myeloid","18m","female",32394
"Brain_Myeloid","18m","female",1350436
"Brain_Myeloid","18m","female",1924255
"Brain_Myeloid","18m","female",2152965
"Brain_Myeloid","24m","male",695479
"Brain_Myeloid","24m","male",932846
"Brain_Myeloid","24m","male",641400
"Brain_Myeloid","24m","male",54918
"Brain_Myeloid","24m","male",604964
